20.00;26.25;29.86;73.75;29.86
20.10;31.25;31.02;68.75;31.02
20.20;36.25;31.30;63.75;31.30
20.30;41.25;31.40;58.75;31.40
20.40;36.65;31.52;63.35;31.52
20.50;32.05;32.36;67.95;32.36
20.60;27.45;38.27;72.55;38.27
20.70;22.85;37.60;77.15;37.60
20.80;18.25;36.17;81.75;36.17
20.90;22.50;41.26;77.50;41.26
21.00;26.75;45.69;73.25;45.69
21.10;31.00;42.19;69.00;42.19
21.20;35.25;41.82;64.75;41.82
21.30;40.05;41.52;59.95;41.52
21.40;44.85;41.14;55.15;41.14
21.50;49.65;40.05;50.35;40.05
21.60;54.45;40.17;45.55;40.17
21.70;59.25;39.54;40.75;39.54
21.80;64.00;39.57;36.00;39.57
21.90;68.75;40.54;31.25;40.54
22.00;73.50;39.57;26.50;39.57
22.10;78.25;34.95;21.75;34.95
22.20;74.00;35.64;26.00;35.64
22.30;69.75;29.86;30.25;29.86
22.40;65.50;30.59;34.50;30.59
22.50;61.25;25.13;38.75;25.13
22.60;65.05;30.00;34.95;30.00
22.70;68.85;29.08;31.15;29.08
22.80;72.65;28.12;27.35;28.12
22.90;76.45;29.62;23.55;29.62
23.00;80.25;28.69;19.75;28.69
23.10;75.75;35.07;24.25;35.07
23.20;71.25;34.85;28.75;34.85
23.30;66.75;34.95;33.25;34.95
23.40;62.25;37.89;37.75;37.89
23.50;58.00;34.16;42.00;34.16
23.60;53.75;35.33;46.25;35.33
23.70;49.50;43.34;50.50;43.34
23.80;45.25;43.13;54.75;43.13
23.90;42.25;43.87;57.75;43.87
24.00;39.25;49.26;60.75;49.26
24.10;36.25;48.54;63.75;48.54
24.20;33.25;48.15;66.75;48.15
24.30;30.25;53.19;69.75;53.19
24.40;24.25;51.74;75.75;51.74
24.50;18.25;51.56;81.75;51.56
24.60;12.25;51.38;87.75;51.38
24.70;6.25;51.47;93.75;51.47
24.80;10.65;52.46;89.35;52.46
24.90;15.05;51.62;84.95;51.62
25.00;19.45;52.38;80.55;52.38
25.10;23.85;51.44;76.15;51.44
25.20;28.25;44.60;71.75;44.60
25.30;33.50;44.07;66.50;44.07
25.40;38.75;43.56;61.25;43.56
25.50;44.00;46.09;56.00;46.09
25.60;49.25;39.60;50.75;39.60
25.70;46.25;39.93;53.75;39.93
25.80;43.25;33.48;56.75;33.48
25.90;40.25;27.63;59.75;27.63
26.00;37.25;22.44;62.75;22.44
26.10;34.25;26.74;65.75;26.74
26.20;40.25;27.54;59.75;27.54
26.30;46.25;28.52;53.75;28.52
26.40;52.25;29.82;47.75;29.82
26.50;58.25;29.93;41.75;29.93
26.60;54.50;22.45;45.50;22.45
26.70;50.75;27.98;49.25;27.98
26.80;47.00;28.28;53.00;28.28
26.90;43.25;26.01;56.75;26.01
